1	phonalign_1	Andean	"one"	21	15	11	Chimborazo;Tena;Inkawasi;Cajamarca;Corongo;Caraz;Chavín;Huancayo;Huancavelica;Cuzco;Puno;Taquile;Apolobamba;Cochabamba;Sucre
2	phonalign_2	Andean	"two"	50	15	11	Chimborazo;Tena;Inkawasi;Cajamarca;Corongo;Caraz;Chavín;Huancayo;Huancavelica;Cuzco;Puno;Taquile;Apolobamba;Cochabamba;Sucre
3	phonalign_3	Andean	"three"	69	20	6	Chimborazo;Tena;Inkawasi;Cajamarca;Corongo;Caraz;Chavín;Huancayo;Huancavelica;Cuzco;Puno;Taquile;Apolobamba;Cochabamba;Sucre;Kawki;Jaqaru;Huancané;Tiwanaku;Oruro
4	phonalign_4	Andean	"four"	73	6	3	Chimborazo;Tena;Cajamarca;Corongo;Caraz;Chavín
5	phonalign_5	Andean	"four"	42	5	3	Kawki;Jaqaru;Huancané;Tiwanaku;Oruro
6	phonalign_6	Andean	"five"	44	19	17	Chimborazo;Tena;Cajamarca;Corongo;Caraz;Chavín;Huancayo;Huancavelica;Cuzco;Puno;Taquile;Apolobamba;Cochabamba;Sucre;Kawki;Jaqaru;Huancané;Tiwanaku;Oruro
7	phonalign_7	Andean	"six"	53	18	14	Chimborazo;Tena;Corongo;Caraz;Chavín;Huancayo;Huancavelica;Cuzco;Puno;Taquile;Apolobamba;Cochabamba;Sucre;Kawki;Jaqaru;Huancané;Tiwanaku;Oruro
8	phonalign_8	Andean	"seven"	57	15	11	Chimborazo;Tena;Corongo;Caraz;Chavín;Huancayo;Huancavelica;Cuzco;Puno;Taquile;Apolobamba;Cochabamba;Sucre;Kawki;Jaqaru
9	phonalign_9	Andean	"eight"	55	15	12	Chimborazo;Tena;Corongo;Caraz;Chavín;Huancayo;Huancavelica;Cuzco;Puno;Taquile;Apolobamba;Cochabamba;Sucre;Kawki;Jaqaru
10	phonalign_10	Andean	"nine"	44	15	11	Chimborazo;Tena;Corongo;Caraz;Chavín;Huancayo;Huancavelica;Cuzco;Puno;Taquile;Apolobamba;Cochabamba;Sucre;Kawki;Jaqaru
11	phonalign_11	Andean	"nine"	81	3	3	Huancané;Tiwanaku;Oruro
12	phonalign_12	Andean	"ten"	52	18	12	Chimborazo;Tena;Corongo;Caraz;Chavín;Huancayo;Huancavelica;Cuzco;Puno;Taquile;Apolobamba;Cochabamba;Sucre;Kawki;Jaqaru;Huancané;Tiwanaku;Oruro
13	phonalign_13	Andean	"year"	63	14	5	Chimborazo;Tena;Corongo;Caraz;Chavín;Huancayo;Huancavelica;Cuzco;Puno;Taquile;Apolobamba;Cochabamba;Sucre;Kawki
14	phonalign_14	Andean	"we"	66	5	4	Kawki;Jaqaru;Huancané;Tiwanaku;Oruro
15	phonalign_15	Andean	"we"	51	15	13	Chimborazo;Tena;Inkawasi;Cajamarca;Corongo;Caraz;Chavín;Huancayo;Huancavelica;Cuzco;Puno;Taquile;Apolobamba;Cochabamba;Sucre
16	phonalign_16	Andean	"you"	36	15	8	Chimborazo;Tena;Inkawasi;Cajamarca;Corongo;Caraz;Chavín;Huancayo;Huancavelica;Cuzco;Puno;Taquile;Apolobamba;Cochabamba;Sucre
17	phonalign_17	Andean	"he/she "	45	15	5	Chimborazo;Tena;Inkawasi;Cajamarca;Corongo;Caraz;Chavín;Huancayo;Huancavelica;Cuzco;Puno;Taquile;Apolobamba;Cochabamba;Sucre
18	phonalign_18	Andean	"he/she "	60	5	5	Kawki;Jaqaru;Huancané;Tiwanaku;Oruro
19	phonalign_19	Andean	"they"	69	15	10	Chimborazo;Tena;Inkawasi;Cajamarca;Corongo;Caraz;Chavín;Huancayo;Huancavelica;Cuzco;Puno;Taquile;Apolobamba;Cochabamba;Sucre
20	phonalign_20	Andean	"not"	67	15	3	Chimborazo;Tena;Inkawasi;Cajamarca;Corongo;Caraz;Chavín;Huancayo;Huancavelica;Cuzco;Puno;Taquile;Apolobamba;Cochabamba;Sucre
21	phonalign_21	Andean	"not"	67	4	3	Kawki;Huancané;Tiwanaku;Oruro
22	phonalign_22	Andean	"who	35	5	5	Kawki;Jaqaru;Huancané;Tiwanaku;Oruro
23	phonalign_23	Andean	"this"	43	15	6	Chimborazo;Tena;Inkawasi;Cajamarca;Corongo;Caraz;Chavín;Huancayo;Huancavelica;Cuzco;Puno;Taquile;Apolobamba;Cochabamba;Sucre
24	phonalign_24	Andean	"this"	39	5	5	Kawki;Jaqaru;Huancané;Tiwanaku;Oruro
25	phonalign_25	Andean	"that"	30	15	7	Chimborazo;Tena;Inkawasi;Cajamarca;Corongo;Caraz;Chavín;Huancayo;Huancavelica;Cuzco;Puno;Taquile;Apolobamba;Cochabamba;Sucre
26	phonalign_26	Andean	"that"	56	4	3	Kawki;Huancané;Tiwanaku;Oruro
27	phonalign_27	Andean	"here"	56	5	4	Kawki;Jaqaru;Huancané;Tiwanaku;Oruro
28	phonalign_28	Andean	"here"	39	15	10	Chimborazo;Tena;Inkawasi;Cajamarca;Corongo;Caraz;Chavín;Huancayo;Huancavelica;Cuzco;Puno;Taquile;Apolobamba;Cochabamba;Sucre
29	phonalign_29	Andean	"here"	39	15	10	Chimborazo;Tena;Inkawasi;Cajamarca;Corongo;Caraz;Chavín;Huancayo;Huancavelica;Cuzco;Puno;Taquile;Apolobamba;Cochabamba;Sucre
30	phonalign_30	Andean	"hair"	37	15	12	Chimborazo;Tena;Inkawasi;Cajamarca;Corongo;Caraz;Chavín;Huancayo;Huancavelica;Cuzco;Puno;Taquile;Apolobamba;Cochabamba;Sucre
31	phonalign_31	Andean	"hair"	63	5	5	Kawki;Jaqaru;Huancané;Tiwanaku;Oruro
32	phonalign_32	Andean	"eye"	48	15	5	Chimborazo;Tena;Inkawasi;Cajamarca;Corongo;Caraz;Chavín;Huancayo;Huancavelica;Cuzco;Puno;Taquile;Apolobamba;Cochabamba;Sucre
33	phonalign_33	Andean	"nose"	56	15	9	Chimborazo;Tena;Inkawasi;Cajamarca;Corongo;Caraz;Chavín;Huancayo;Huancavelica;Cuzco;Puno;Taquile;Apolobamba;Cochabamba;Sucre
34	phonalign_34	Andean	"ear"	63	5	4	Kawki;Jaqaru;Huancané;Tiwanaku;Oruro
35	phonalign_35	Andean	"ear"	55	15	9	Chimborazo;Tena;Inkawasi;Cajamarca;Corongo;Caraz;Chavín;Huancayo;Huancavelica;Cuzco;Puno;Taquile;Apolobamba;Cochabamba;Sucre
36	phonalign_36	Andean	"mouth"	58	17	6	Chimborazo;Tena;Inkawasi;Cajamarca;Corongo;Caraz;Chavín;Huancayo;Huancavelica;Cuzco;Puno;Taquile;Apolobamba;Cochabamba;Sucre;Kawki;Jaqaru
37	phonalign_37	Andean	"tongue"	59	15	9	Chimborazo;Tena;Inkawasi;Cajamarca;Corongo;Caraz;Chavín;Huancayo;Huancavelica;Cuzco;Puno;Taquile;Apolobamba;Cochabamba;Sucre
38	phonalign_38	Andean	"tooth"	58	15	4	Chimborazo;Tena;Inkawasi;Cajamarca;Corongo;Caraz;Chavín;Huancayo;Huancavelica;Cuzco;Puno;Taquile;Apolobamba;Cochabamba;Sucre
39	phonalign_39	Andean	"hand"	78	5	3	Kawki;Jaqaru;Huancané;Tiwanaku;Oruro
40	phonalign_40	Andean	"neck"	61	20	6	Chimborazo;Tena;Inkawasi;Cajamarca;Corongo;Caraz;Chavín;Huancayo;Huancavelica;Cuzco;Puno;Taquile;Apolobamba;Cochabamba;Sucre;Kawki;Jaqaru;Huancané;Tiwanaku;Oruro
41	phonalign_41	Andean	"foot"	56	15	5	Chimborazo;Tena;Inkawasi;Cajamarca;Corongo;Caraz;Chavín;Huancayo;Huancavelica;Cuzco;Puno;Taquile;Apolobamba;Cochabamba;Sucre
42	phonalign_42	Andean	"blood"	62	14	9	Chimborazo;Tena;Inkawasi;Cajamarca;Corongo;Caraz;Chavín;Huancayo;Cuzco;Puno;Taquile;Apolobamba;Cochabamba;Sucre
43	phonalign_43	Andean	"bone"	46	5	4	Kawki;Jaqaru;Huancané;Tiwanaku;Oruro
44	phonalign_44	Andean	"bone"	63	15	6	Chimborazo;Tena;Inkawasi;Cajamarca;Corongo;Caraz;Chavín;Huancayo;Huancavelica;Cuzco;Puno;Taquile;Apolobamba;Cochabamba;Sucre
45	phonalign_45	Andean	"skin"	63	16	6	Chimborazo;Tena;Inkawasi;Cajamarca;Corongo;Caraz;Chavín;Huancavelica;Cuzco;Puno;Taquile;Apolobamba;Cochabamba;Sucre;Kawki;Jaqaru
46	phonalign_46	Andean	"skin"	78	3	3	Huancané;Tiwanaku;Oruro
47	phonalign_47	Andean	"fingernail"	47	20	9	Chimborazo;Tena;Inkawasi;Cajamarca;Corongo;Caraz;Chavín;Huancayo;Huancavelica;Cuzco;Puno;Taquile;Apolobamba;Cochabamba;Sucre;Kawki;Jaqaru;Huancané;Tiwanaku;Oruro
48	phonalign_48	Andean	"belly"	58	6	3	Inkawasi;Cajamarca;Corongo;Caraz;Chavín;Huancayo
49	phonalign_49	Andean	"belly"	50	5	3	Kawki;Jaqaru;Huancané;Tiwanaku;Oruro
50	phonalign_50	Andean	"belly"	55	9	5	Chimborazo;Tena;Huancavelica;Cuzco;Puno;Taquile;Apolobamba;Cochabamba;Sucre
51	phonalign_51	Andean	"heart"	50	15	10	Chimborazo;Tena;Inkawasi;Cajamarca;Corongo;Caraz;Chavín;Huancayo;Huancavelica;Cuzco;Puno;Taquile;Apolobamba;Cochabamba;Sucre
52	phonalign_52	Andean	"heart"	53	4	4	Jaqaru;Huancané;Tiwanaku;Oruro
53	phonalign_53	Andean	"dog"	43	17	13	Chimborazo;Tena;Inkawasi;Cajamarca;Corongo;Caraz;Chavín;Huancayo;Huancavelica;Cuzco;Puno;Taquile;Apolobamba;Cochabamba;Sucre;Kawki;Jaqaru
